Vendor,Model,Build,Extract 22.2,Extract 22.1,Build 22.2,Build 22.1,Ebay,rootable,SOC,GPU,Released,Conflict
LGE,G7_ThinQ,judyln,completes,completes,completes,fails,60,,Qualcomm SDM845 Snapdragon 845,,2018,
LGE,V35,judyp,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
LGE,V40,judypn,completes,fails,,,120,,Qualcomm SDM845 Snapdragon 845,,2018,
LGE,G8_ThinQ,alphaplus,completes,completes,completes,,100,,Qualcomm SM8150 Snapdragon 855,,2019,
LGE,V50_ThinQ,flashlmdd,completes,fails,completes,,150,,Qualcomm SM8150 Snapdragon 855,,2019,
LGE,Velvet,caymanslm,,,,,,,Qualcomm SDM845 Snapdragon 845,,2020,
,,,,,,,,,,,,
ASUS,ZenPhone_5Z,Z01R,fails,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
,ZenPhone_8,sake,,,,,,,Qualcomm SM8350 Snapdragon 888,,2021,
,,,,,,,,,,,,
Lenovo,Z6_Pro,zippo,fails,,,,,,Qualcomm SM8150 Snapdragon 855,,2019,
Lenovo,Z5_Pro_GT,heart,fails,,,,,,Qualcomm SM8150 Snapdragon 855,,2019,
,,,,,,,,,,,,
FxTec,Pro_1,pro1,fails,,,,,,Qualcomm MSM8998 Snapdragon 835,,2019,
FxTec,Pro_1X,pro1x,completes,,,,,,Qualcomm SM6115 Snapdragon 662,,2022,
,,,,,,,,,,,,
Nvidia,TX1_Tablet,foster_tab,fails,,,,150,,NVIDIA Tegra X1 (T210),,2015,
Nvidia,TX1_TV,foster,fails,,,,,,NVIDIA Tegra X1 (T210),,2015,
Nvidia,TX2_Tablet,quill_tag,fails,,,,350,,NVIDIA Tegra X2 (T186),,2017,
Nvidia,TX2_TV,quill,fails,,,,,,NVIDIA Tegra X2 (T186),,2017,
Nvidia,Jetson_Tablet,porg_tab,fails,,,,,,NVIDIA Tegra X1 (T210),,2019,
Nvidia,Jetson_TV,porg,fails,,,,,,NVIDIA Tegra X1 (T210),,2019,
Nvidia,Shield_TV,sif,,,,,,,NVIDIA Tegra X1+ (T210b01),,2019,
,,,,,,,,,,,,
Essential,PH_1,mata,completes,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
,,,,,,,,,,,,
Nothing,Phone_1,Spacewar,completes,,,,230,,Qualcomm SM7325-AE Snapdragon 778G+ 5G,,2022,
Nothing,Phone_2,Pong,completes,,,,,,Qualcomm SM8475 Snapdragon 8+ Gen1,,2023,
,,,,,,,,,,,,
Nokia,8,NB1,,,,,,,Qualcomm MSM8998 Snapdragon 835,,2017,
Nokia,6.1_2018,PL2,fails,,,,,,Qualcomm SDM630 Snapdragon 630,,2018,
Nokia,7_Plus,B2N,fails,,,,,,Qualcomm SDM660 Snapdragon 660,,2018,
,,,,,,,,,,,,
Sony,Xperia_XA2,pioneer,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Sony,Xperia_XZ2_Premium,aurora,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
Sony,Xperia_XZ2_Compact,xz2c,completes,,,,,,Qualcomm SDM845 Snapdragon 845,,2018,
